file,namespace,types,base_types,method_count,field_count,using_count,top_refs
ABossLogic.cs,(global),class ABossLogic,GClass429,5,1,1,Token:8 | RID:8 | ABossLogic:2 | RVA:2 | File:2 | Offset:2 | BotBoss:2 | BossLogic:2
AbsolutDecals/DecalProjector.cs,AbsolutDecals,class DecalProjector | enum ProjectionDirections | enum ProjectorState,MonoBehaviour,18,13,3,Token:61 | RID:61 | DecalProjector:34 | RVA:28 | File:28 | Offset:28 | DecalSystem:25 | ProjectorState:17
AbsolutDecals/DecalSystem.cs,AbsolutDecals,class DecalSystem | enum BakeResult | class SingleDecal,MonoBehaviourSingleton<DecalSystem>,35,40,3,DecalSystem:104 | Token:90 | RID:90 | List:60 | DecalProjector:40 | RVA:37 | File:37 | Offset:37
AbsolutDecals/DecalTester.cs,AbsolutDecals,class DecalTester,MonoBehaviour,2,6,2,Token:9 | RID:9 | Renderer:4 | List:4 | Input:3 | GetComponent:3 | System:2 | RVA:2
AbstractAchievementControllerClass.cs,(global),class AbstractAchievementControllerClass,GClass3999<AchievementTaskClass>,3,1,4,Token:9 | RID:9 | Profile:7 | RVA:6 | File:6 | Offset:6 | AchievementTaskClass:4 | AchievementsBook:4
AbstractMaterialBumpedSpecularSMap.cs,(global),class AbstractMaterialBumpedSpecularSMap,ScriptableObject,1,9,1,Token:13 | RID:13 | AbstractMaterialBumpedSpecularSMap:9 | Material:8 | LoggerClass:6 | Color:6 | MainTex:4 | BumpMap:4
AbstractMaterialSpeedVertPaintShaderSolid.cs,(global),class AbstractMaterialSpeedVertPaintShaderSolid,ScriptableObject,1,19,1,Token:23 | RID:23 | AbstractMaterialSpeedVertPaintShaderSolid:18 | Material:13 | LoggerClass:10 | Shader:9 | PropertyToID:9 | LogTrace:7
AbstractPrestigeControllerClass.cs,(global),class AbstractPrestigeControllerClass | class Class2139,GClass3999<GClass3994>,7,1,7,Token:17 | RID:17 | RVA:10 | File:10 | Offset:10 | GClass3994:9 | Profile:6 | GClass2661:5
AbstractQuestClass.cs,(global),class AbstractQuestClass | class Class3540 | class Class3541 | class Class3542,,25,10,9,Token:85 | RID:85 | T:42 | RVA:37 | File:37 | Offset:37 | Condition:36 | Action:27
AbstractQuestControllerClass.cs,(global),class AbstractQuestControllerClass,GClass3999<QuestClass>,9,3,8,QuestClass:24 | Token:20 | RID:20 | Action:13 | RVA:11 | File:11 | Offset:11 | Profile:7
AbstractSkillClass.cs,(global),class AbstractSkillClass,,9,9,4,Token:38 | RID:38 | RVA:20 | File:20 | Offset:20 | Current:9 | Level:7 | SkillManager:6
AbstractSuppressStationary.cs,(global),class AbstractSuppressStationary,GClass429,7,1,2,Token:20 | RID:20 | RVA:10 | File:10 | Offset:10 | EndSuppressTime:5 | Time:5 | SuppressStationary:3
AchievementControllerClass.cs,(global),class AchievementControllerClass | class Class3615,GClass4010,6,2,7,Token:15 | RID:15 | RVA:8 | File:8 | Offset:8 | AchievementControllerClass:7 | AchievementTaskClass:6 | QuestBookClass:5
